JOB,Up,Down,Sections,Label,SITE ADDRESS
CATALYST ,22/07/2026 08:00,02/08/2026 08:00,VOE-V-V-V-VOE,Valhalla 8,"Royal Norfolk Showground, Dereham Rd, Costessey, Norwich, NR5 0TT"
MAGNITUDE/SU SCOTLAND,15/07/2026 08:00,24/07/2026 08:00,s-m-m-K,6 Kay/Siam,"Lendrick Muir, Rumbling Bridge, Kinross, KY13 0QA"
READING ,21/08/2026 08:00,02/09/2026 20:00,VOE-V-V-V-V-VOE,Valhalla 10,"Little John's Farm, Richfield Avenue, Reading, RG1 8EQ"
ROSKILDE,23/06/2026 20:00,07/07/2026 13:00,VOE-V-V-VOE,Valhalla 6,"Roskilde Festival, Festivalpladsen, Darupvej 19,  DK-4000 Roskilde, Denmark "
SHAMBALA ,23/08/2026 08:00,01/09/2026 08:00,K-M-SC,4 Pole SC,"Kelmarsh event site, Northampton, NN6 9LY "
SILVERSTONE ,26/06/2026 08:00,10/07/2026 08:00,SC-m-M-T-M-m-SC-K,14 CT SC,"Silverstone Circuit, Towcester, Northamptonshire, NN12 8TN."
SOLIDAYS ,17/06/2026 18:00,01/07/2026 18:00,K-M-m-SC,6 K SC,"Longchamp Racecourse, 2 Route des Tribunes, 75016 Paris, France"
SOLIDAYS ,18/06/2026 17:00,01/07/2026 13:00,s-m-s,4 Siam,"Longchamp Racecourse, 2 Route des Tribunes, 75016 Paris, France"
WILD FIRES,27/07/2026 08:00,12/08/2026 08:00,s-m-M-K,6 Siam Kay,"Wiston Estate, West Sussex, RH20 4BB"
